# Date,Receipt_Count,Day_of_Week,Month,Day,Year,Lag_1,Lag_2,Lag_3
2021-01-04,7666163,0,1,4,2021,7095414.0,7455524.0,7564766.0
2021-01-05,7771289,1,1,5,2021,7666163.0,7095414.0,7455524.0
2021-01-06,7473320,2,1,6,2021,7771289.0,7666163.0,7095414.0
2021-01-07,7832624,3,1,7,2021,7473320.0,7771289.0,7666163.0
2021-01-08,7765028,4,1,8,2021,7832624.0,7473320.0,7771289.0
2021-01-09,7385245,5,1,9,2021,7765028.0,7832624.0,7473320.0
2021-01-10,7392087,6,1,10,2021,7385245.0,7765028.0,7832624.0
2021-01-11,7738899,0,1,11,2021,7392087.0,7385245.0,7765028.0
2021-01-12,7840830,1,1,12,2021,7738899.0,7392087.0,7385245.0
2021-01-13,8122546,2,1,13,2021,7840830.0,7738899.0,7392087.0
2021-01-14,7694195,3,1,14,2021,8122546.0,7840830.0,7738899.0
2021-01-15,7200595,4,1,15,2021,7694195.0,8122546.0,7840830.0
2021-01-16,7744470,5,1,16,2021,7200595.0,7694195.0,8122546.0
2021-01-17,7610648,6,1,17,2021,7744470.0,7200595.0,7694195.0
2021-01-18,7880913,0,1,18,2021,7610648.0,7744470.0,7200595.0
2021-01-19,7250032,1,1,19,2021,7880913.0,7610648.0,7744470.0
2021-01-20,7666397,2,1,20,2021,7250032.0,7880913.0,7610648.0
2021-01-21,7742477,3,1,21,2021,7666397.0,7250032.0,7880913.0
2021-01-22,7807438,4,1,22,2021,7742477.0,7666397.0,7250032.0
2021-01-23,7603625,5,1,23,2021,7807438.0,7742477.0,7666397.0
2021-01-24,7572947,6,1,24,2021,7603625.0,7807438.0,7742477.0
2021-01-25,7598153,0,1,25,2021,7572947.0,7603625.0,7807438.0
2021-01-26,7194687,1,1,26,2021,7598153.0,7572947.0,7603625.0
2021-01-27,7787109,2,1,27,2021,7194687.0,7598153.0,7572947.0
2021-01-28,7631075,3,1,28,2021,7787109.0,7194687.0,7598153.0
2021-01-29,7750536,4,1,29,2021,7631075.0,7787109.0,7194687.0
2021-01-30,8059526,5,1,30,2021,7750536.0,7631075.0,7787109.0
2021-01-31,7838129,6,1,31,2021,8059526.0,7750536.0,7631075.0
2021-02-01,7714465,0,2,1,2021,7838129.0,8059526.0,7750536.0
2021-02-02,7766408,1,2,2,2021,7714465.0,7838129.0,8059526.0
2021-02-03,7832259,2,2,3,2021,7766408.0,7714465.0,7838129.0
2021-02-04,7506461,3,2,4,2021,7832259.0,7766408.0,7714465.0
2021-02-05,7816477,4,2,5,2021,7506461.0,7832259.0,7766408.0
2021-02-06,7360372,5,2,6,2021,7816477.0,7506461.0,7832259.0
2021-02-07,8039414,6,2,7,2021,7360372.0,7816477.0,7506461.0
2021-02-08,7858632,0,2,8,2021,8039414.0,7360372.0,7816477.0
2021-02-09,7810951,1,2,9,2021,7858632.0,8039414.0,7360372.0
2021-02-10,7579882,2,2,10,2021,7810951.0,7858632.0,8039414.0
2021-02-11,8127696,3,2,11,2021,7579882.0,7810951.0,7858632.0
2021-02-12,7748085,4,2,12,2021,8127696.0,7579882.0,7810951.0
2021-02-13,8117805,5,2,13,2021,7748085.0,8127696.0,7579882.0
2021-02-14,7780006,6,2,14,2021,8117805.0,7748085.0,8127696.0
2021-02-15,7916028,0,2,15,2021,7780006.0,8117805.0,7748085.0
2021-02-16,7736671,1,2,16,2021,7916028.0,7780006.0,8117805.0
2021-02-17,8082781,2,2,17,2021,7736671.0,7916028.0,7780006.0
2021-02-18,7824063,3,2,18,2021,8082781.0,7736671.0,7916028.0
2021-02-19,7761256,4,2,19,2021,7824063.0,8082781.0,7736671.0
2021-02-20,7821879,5,2,20,2021,7761256.0,7824063.0,8082781.0
2021-02-21,7760399,6,2,21,2021,7821879.0,7761256.0,7824063.0
